ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
CUS_0x000001,CUS_00000001,June,Allison Hill,56,229-18-1680,Sales,12705.19,913.08,3,2,6.16,2,Mortgage Loan,9,1,14.791752796317368,0,Good,24645.77,52.48,127,No,219.06,12.78,High_spent_Small_value_payments,303.55,Poor
CUS_0x000002,CUS_00000002,December,Stephanie Miller,77,433-05-0489,Accountant,10901.51,1084.06,3,1,14.34,2,Debt Consolidation Loan,11,1,41.49949866739314,7,Standard,20542.84,3.44,60,Yes,591.45,84.16,Low_spent_Medium_value_payments,68.61,Poor
CUS_0x000003,CUS_00000003,December,David Guzman,57,575-26-8929,Teacher,14090.53,1334.98,1,2,14.0,0,Mortgage Loan,25,3,-28.861366253785604,0,Standard,27086.85,1.56,196,Yes,339.14,158.15,High_spent_Small_value_payments,459.94,Standard
CUS_0x000004,CUS_00000004,March,Jerry Ramirez,25,891-01-2616,Manager,61759.28,5457.62,3,0,23.3,2,Mortgage Loan,5,0,95.75681430836556,2,Standard,45802.94,76.08,236,Yes,1837.94,1262.29,High_spent_Medium_value_payments,921.47,Good
CUS_0x000005,CUS_00000005,June,Gina Moore,56,782-44-1675,Sales,18948.24,1461.77,1,4,15.17,3,Home Equity Loan,2,2,70.55081153486717,3,Bad,2917.27,89.26,246,Yes,473.04,354.09,Low_spent_Small_value_payments,-307.33,Standard
CUS_0x000006,CUS_00000006,January,Brent Abbott,45,619-34-0712,Nurse,45437.06,4268.08,1,2,22.21,0,Credit-Builder Loan,7,1,94.36709424131669,6,Standard,10892.66,49.72,126,Yes,770.5,364.72,High_spent_Small_value_payments,-693.07,Standard
CUS_0x000007,CUS_00000007,November,Kimberly Dudley,34,388-11-9045,Lawyer,14160.82,1012.45,2,2,14.79,4,Student Loan,2,2,54.37192101863228,2,Bad,20624.28,59.09,131,Yes,411.6,5.04,High_spent_Small_value_payments,-133.86,Poor
CUS_0x000008,CUS_00000008,December,Mark Mcclure,20,371-74-3151,Accountant,12885.27,1081.4,1,4,21.75,1,Mortgage Loan,13,1,85.06270857449957,6,Bad,17930.74,33.9,133,Yes,226.58,235.51,High_spent_Small_value_payments,-293.55,Standard
CUS_0x000009,CUS_00000009,January,Amber Perez,20,297-11-3815,Teacher,16556.11,1192.94,4,4,22.97,1,Home Equity Loan,0,0,-14.41263687547999,4,Standard,21970.02,17.88,118,Yes,262.3,266.33,High_spent_Large_value_payments,-590.43,Standard
CUS_0x00000a,CUS_00000010,May,Jamie Chavez,20,855-47-2665,Doctor,50114.22,3748.53,1,2,24.46,0,Student Loan,22,4,5.5238050383166595,8,Standard,19568.9,95.31,27,No,743.9,621.62,High_spent_Small_value_payments,833.87,Standard
CUS_0x00000b,CUS_00000011,August,Daniel Adams,48,700-83-1170,Student,9444.67,746.98,4,1,12.89,2,Auto Loan,26,0,-29.50680028369568,5,Good,3946.34,35.95,133,Yes,131.58,181.37,Low_spent_Large_value_payments,127.84,Poor
CUS_0x00000c,CUS_00000012,October,Carolyn Daniel,52,168-60-6217,Sales,42480.37,3962.42,1,0,18.0,2,Credit-Builder Loan,15,2,-45.42496250914259,3,Standard,7984.77,3.88,41,Yes,721.0,638.44,Low_spent_Small_value_payments,310.18,Poor
CUS_0x00000d,CUS_00000013,October,Timothy Watts,54,225-88-5314,Doctor,104859.87,9933.81,1,2,8.89,1,Mortgage Loan,11,1,-22.349948850294492,6,Standard,203331.01,42.83,201,Yes,4103.65,173.43,Low_spent_Medium_value_payments,2131.75,Poor
CUS_0x00000e,CUS_00000014,April,Patty Perez,75,033-41-6573,Entrepreneur,13698.68,1041.07,2,3,24.1,2,Mortgage Loan,8,2,21.12607436309878,9,Standard,9752.71,76.34,242,Yes,504.03,108.16,High_spent_Small_value_payments,268.44,Standard
CUS_0x00000f,CUS_00000015,December,Daniel Hahn,79,898-92-5156,Doctor,2996.02,225.79,3,2,5.31,3,Personal Loan,6,6,73.06402656569021,7,Standard,4799.31,90.54,295,Yes,26.52,4.7,High_spent_Medium_value_payments,40.0,Poor
CUS_0x000010,CUS_00000016,May,Jonathan Wilkerson,48,659-59-2341,Artist,14494.02,1120.38,3,1,21.9,0,Auto Loan,16,1,35.27804256249375,2,Standard,20197.04,99.05,95,No,277.37,125.04,High_spent_Small_value_payments,144.46,Poor
CUS_0x000011,CUS_00000017,April,David Hoffman,56,270-96-9578,Other,62547.13,5735.3,2,1,20.09,0,Personal Loan,23,2,23.95384866577075,4,Bad,112024.82,9.17,188,No,2073.11,952.7,High_spent_Small_value_payments,-635.46,Poor
CUS_0x000012,CUS_00000018,August,Kevin Cox,38,142-66-8086,Nurse,47604.3,4719.57,3,0,24.92,0,Payday Loan,13,7,79.47077829835058,5,Standard,21191.19,81.28,47,Yes,2682.36,1396.05,High_spent_Large_value_payments,-487.76,Standard
CUS_0x000013,CUS_00000019,December,Anthony Rodriguez,21,643-21-6917,Other,82992.36,6706.4,2,2,23.13,0,Student Loan,6,0,10.033433930803724,0,Standard,77790.51,8.29,172,No,2126.08,877.87,High_spent_Small_value_payments,-2975.61,Poor
CUS_0x000014,CUS_00000020,December,Janice Carlson,75,480-68-4120,Manager,27559.22,1906.58,1,2,8.32,0,Credit-Builder Loan,3,6,-10.109311255364155,4,Good,21745.43,97.44,25,Yes,1128.17,399.33,Low_spent_Large_value_payments,-749.75,Poor
CUS_0x000015,CUS_00000021,January,Shannon Smith,34,739-15-8798,Manager,11552.74,799.53,3,1,23.81,1,Personal Loan,8,1,39.11960730282027,8,Good,20255.68,96.99,51,Yes,403.98,201.08,High_spent_Small_value_payments,41.25,Poor
CUS_0x000016,CUS_00000022,July,Patricia Peterson,51,301-56-2592,Engineer,31022.16,2863.33,3,4,23.9,2,Credit-Builder Loan,2,1,24.724777996883944,5,Standard,59193.44,77.23,28,Yes,893.64,732.02,Low_spent_Medium_value_payments,304.01,Poor
CUS_0x000017,CUS_00000023,August,Troy Liu,71,270-65-2928,Nurse,33313.33,2909.71,2,2,19.08,0,Debt Consolidation Loan,1,0,9.481417348190526,6,Good,23358.48,52.36,234,No,1217.96,695.25,High_spent_Small_value_payments,261.63,Good
CUS_0x000018,CUS_00000024,March,Ashley Garrett,27,862-82-8318,Artist,21704.65,1896.12,1,2,11.95,0,Personal Loan,8,2,50.13366077815408,1,Good,25384.29,60.19,39,Yes,254.67,467.46,High_spent_Small_value_payments,-189.04,Poor
CUS_0x000019,CUS_00000025,August,Brittany Farmer,35,553-68-0010,Artist,9744.92,765.3,1,1,22.88,0,Auto Loan,3,1,39.59171233831458,3,Bad,9377.44,20.93,238,No,170.11,111.24,High_spent_Large_value_payments,143.71,Good
CUS_0x00001a,CUS_00000026,June,Katherine Rodriguez,43,372-40-3924,Entrepreneur,26691.23,2004.01,3,0,19.27,2,Credit-Builder Loan,7,1,30.300334602328533,8,Standard,23883.97,89.05,192,Yes,713.74,408.28,High_spent_Small_value_payments,65.37,Standard
CUS_0x00001b,CUS_00000027,July,Shawn Arroyo,20,088-94-7963,Manager,16348.55,1496.13,2,3,13.63,0,Payday Loan,3,2,-25.89779401106665,7,Bad,11643.33,89.68,116,Yes,72.02,235.42,High_spent_Large_value_payments,727.89,Good
CUS_0x00001c,CUS_00000028,January,Vanessa Patel,57,129-17-7788,Sales,26211.84,1972.79,4,0,8.42,1,Credit-Builder Loan,26,2,65.16692521642582,5,Standard,40339.64,58.12,123,Yes,182.72,284.76,Low_spent_Medium_value_payments,-617.4,Poor
CUS_0x00001d,CUS_00000029,December,Carmen Rose,60,622-55-3471,Other,3906.59,389.35,2,2,11.45,2,Personal Loan,2,4,-40.025559894983374,7,Bad,2725.77,72.16,143,Yes,11.24,91.29,High_spent_Medium_value_payments,167.24,Standard
